business_id,business_postal_code,business_latitude,business_longitude,inspection_score,violation_id,violation_description,inspection_year,inspection_month,inspection_day
2085,94109.0,37.783053,-122.41898799999998,65.0,103156.0,2.0,2018,10,23
24534,94107.0,37.778534,-122.39321899999999,88.0,103131.0,1.0,2019,7,18
65925,94111.0,37.793865000000004,-122.39649299999999,90.0,103150.0,4.0,2019,7,9
67565,94116.0,37.742703000000006,-122.48281899999999,82.0,103124.0,1.0,2019,7,3
1442,94133.0,37.807155,-122.419004,90.0,103120.0,3.0,2019,6,6
68813,94107.0,37.782803,-122.39337900000001,71.0,103109.0,1.0,2019,7,30
67186,94110.0,37.760294,-122.42138600000001,85.0,103118.0,1.0,2019,6,5
1231,94110.0,37.761882,-122.419599,83.0,103103.0,3.0,2019,9,17
33386,94133.0,37.799065,-122.408355,94.0,103156.0,2.0,2019,7,19
1791,94121.0,37.781597,-122.492544,88.0,103161.0,1.0,2019,6,12
3286,94109.0,37.787997999999995,-122.42011699999999,81.0,103147.0,4.0,2019,2,14
10433,94102.0,37.788128,-122.409705,92.0,103154.0,1.0,2019,7,30
21143,94107.0,37.783272,-122.398204,88.0,103133.0,1.0,2019,7,19
65487,94110.0,37.756293,-122.421016,91.0,103139.0,3.0,2019,7,31
65679,94134.0,37.72618,-122.40308200000001,82.0,103124.0,1.0,2018,5,17
3926,94102.0,37.773317,-122.421724,88.0,103133.0,1.0,2019,7,3
71696,94115.0,37.788014000000004,-122.44075600000001,94.0,103145.0,3.0,2019,7,2
1262,94117.0,37.767286,-122.453075,94.0,103120.0,3.0,2019,10,2
33700,94110.0,37.749194,-122.418116,90.0,103139.0,3.0,2019,7,2
2797,94109.0,37.785358,-122.421357,88.0,103133.0,1.0,2019,5,30
4544,94116.0,37.742403,-122.48978999999999,92.0,103120.0,3.0,2019,6,5
816,94124.0,37.722374,-122.39584099999999,88.0,103120.0,3.0,2019,7,3
4544,94116.0,37.742403,-122.48978999999999,92.0,103157.0,2.0,2019,6,5
5000,94114.0,37.764947,-122.43201200000001,96.0,103149.0,1.0,2019,7,23
63121,94133.0,37.799696999999995,-122.407614,86.0,103124.0,1.0,2019,6,5
